-72653,640765,64664702,1712030001,3,F,p,80,ICE,1018,,8000013,30,,32,,1,,20171203,
958224,973101,545429,1712021806,13,F,p,80,ICE,273,,8000026,50,,53,,3,,20171203,
-46743,026818,11850992,1712021913,15,F,p,80,ICE,100,,8000041,19,,21,,5,,20171203,
-65249,985574,45987060,1712021855,15,F,p,80,ICE,524,,8000041,37,,39,,5,,20171203,
-86446,597866,37490479,1712021614,16,F,p,80,ICE,732,,8000070,8,,10,,3,,20171203,
-46743,026818,11850992,1712021913,16,F,p,80,ICE,100,,8000080,31,,0,,8,,20171203,
386931,040406,8536521,1712022053,11,F,p,80,ICE,540,,8000080,48,,52,,16,,20171203,
-65249,985574,45987060,1712021855,16,F,p,80,ICE,524,,8000080,50,,0,,10,,20171203,
181721,192153,7788102,1712021935,13,F,p,80,ICE,842,,8000085,6,,8,,16,,20171203,
-65249,985574,45987060,1712021855,12,F,p,80,ICE,524,,8000085,1,,3,,17,,20171203,
820514,423278,1928328,1712021450,18,F,p,81,ICE,22,,8000085,32,,34,,17,,20171203,
-65249,985574,45987060,1712021855,13,F,p,80,ICE,524,,8000086,14,,16,,12,,20171203,
820514,423278,1928328,1712021450,19,F,p,81,ICE,22,,8000086,45,,47,,12,,20171203,
-48228,774543,49863859,1712021813,15,F,p,80,ICE,1552,,8000096,50,,0,,15,,20171203,
-46743,026818,11850992,1712021913,14,F,p,80,ICE,100,,8000098,8,,10,,4,,20171203,
-65249,985574,45987060,1712021855,14,F,p,80,ICE,524,,8000098,27,,29,,6,,20171203,
820514,423278,1928328,1712021450,20,F,p,81,ICE,22,,8000098,57,,59,,6,,20171203,
585195,073906,0353167,1712022055,5,F,p,80,ICE,1620,,8000105,4,,0,,9,,20171203,
-72709,651974,40929462,1712022058,12,F,p,80,ICE,619,,8000105,0,,9,,3,,20171203,
-28163,095140,64352202,1712021848,12,F,p,80,ICE,1087,,8000105,8,,13,,8,,20171203,
958224,973101,545429,1712021806,12,F,p,80,ICE,273,,8000107,15,,17,,3,,20171203,
-53876,241299,32720070,1712021050,25,F,p,81,ICE,26,,8000147,29,,31,,1,,20171203,
386931,040406,8536521,1712022053,10,F,p,80,ICE,540,,8000149,28,,30,,10,,20171203,
-40965,988427,45486619,1712021713,21,F,p,80,ICE,1102,,8000152,18,,0,,9,,20171203,
-48228,774543,49863859,1712021813,13,F,p,80,ICE,1552,,8000156,2,,4,,5,,20171203,
573993,300038,286878,1712021700,14,F,p,85,ICE,1172,,8000168,21,,23,,102,,20171203,
-15710,995789,29529494,1712021846,11,F,p,80,ICE,685,,8000183,34,,37,,3,,20171203,
278363,959612,9375026,1712021618,17,F,p,80,ICE,1517,,8000183,10,,12,,3,,20171203,
879196,525619,2082146,1712022024,9,F,p,80,ICE,1625,,8000183,10,,12,,3,,20171203,
802962,390788,589233,1712021830,14,F,p,80,ICE,877,,8000191,22,,0,,2,,20171203,
-43838,032367,60390820,1712021952,12,F,p,80,ICE,522,,8000207,42,,45,,2,,20171203,
181721,192153,7788102,1712021935,14,F,p,80,ICE,842,,8000207,30,,0,,5,,20171203,
820514,423278,1928328,1712021450,17,F,p,81,ICE,22,,8000207,6,,11,,4,,20171203,
573993,300038,286878,1712021700,15,F,p,85,ICE,1172,,8000238,39,,41,,2,,20171203,
-28163,095140,64352202,1712021848,14,F,p,80,ICE,1087,,8000240,45,,47,,3a/b,,20171203,
-28163,095140,64352202,1712021848,15,F,p,80,ICE,1087,,8000250,57,,0,,9,,20171203,
-22342,192695,8290666,1712021644,13,F,p,80,ICE,885,,8000261,18,,0,,19,,20171203,
-72653,640765,64664702,1712030001,1,F,p,80,ICE,1018,,8000261,0,,1,,15,,20171203,
547241,114196,663568,1712021837,14,F,p,80,ICE,615,,8000261,27,,0,,13,,20171203,
278363,959612,9375026,1712021618,18,F,p,80,ICE,1517,,8000261,48,,0,,15,,20171203,
879196,525619,2082146,1712022024,10,F,p,80,ICE,1625,,8000261,48,,0,,15,,20171203,
-82830,484373,26778260,1712022300,3,F,p,80,ICE,920,,8000284,10,,0,,7,,20171203,
-86446,597866,37490479,1712021614,17,F,p,80,ICE,732,,8000291,28,,0,,4,,20171203,
386931,040406,8536521,1712022053,9,F,p,80,ICE,540,,8002461,6,,8,,2,,20171203,
-49069,505620,57364309,1712021756,13,F,p,80,ICE,1182,,8002548,14,,16,,3,,20171203,
-59549,392505,24336154,1712022229,7,F,p,80,ICE,898,,8002548,36,,38,,3,,20171203,
-49069,505620,57364309,1712021756,12,F,p,80,ICE,1182,,8002549,8,,11,,13,,20171203,
-53876,241299,32720070,1712021050,26,F,p,81,ICE,26,,8002549,41,,0,,8,,20171203,
-59549,392505,24336154,1712022229,6,F,p,80,ICE,898,,8002549,30,,33,,6,,20171203,
-49069,505620,57364309,1712021756,14,F,p,80,ICE,1182,,8002553,23,,0,,7,,20171203,
