,30,32,1,n
,54,56,3,n
,19,21,5,n
,37,39,5,n
,23,25,3,n
,31,0,8,n
,55,58,16,n
,50,0,10,n
,9,11,16,n
,1,3,17,n
,32,34,17,n
,14,16,12,n
,45,47,12,n
,50,0,15,n
,8,10,4,n
,27,29,6,n
,57,59,6,n
,9,0,9,n
,1436,9,3,n
,8,13,8,n
,19,21,3,n
,40,42,1,n
,35,37,10,n
,21,0,9,n
,2,4,5,n
,21,23,102,n
,34,37,3,n
,50,52,3,n
,50,52,3,n
,24,0,2,n
,43,46,2,n
,33,0,5,n
,6,11,4,n
,39,41,2,n
,45,47,3a/b,n
,57,0,9,n
,22,0,19,n
,0,1,15,n
,34,0,13,n
,88,0,15,n
,88,0,15,n
,9,0,7,n
,43,0,4,n
,13,15,2,n
,26,28,3,n
,38,40,3,n
,20,23,13,n
,52,0,8,n
,32,35,6,n
,35,0,7,n
