id,zugid,zugverkehrstyp,zugtyp,zugowner,zugklasse,zugnummer,zugnummerfull,linie,evanr,arzeitsoll,arzeitist,dpzeitsoll,dpzeitist,gleissoll,gleisist,datum,streckengeplanthash,streckenchangedhash,zugstatus
50082680,2122586355309909915-1803120550-1,N,p,801518,RB,38810,RB38810,2,8000191,,,5:50:00,5:50:00,3,5,2018-03-12,985e23fd,e2311868,n
50082681,-4713683651810842390-1803120559-1,F,p,80,IC,2363,IC2363,,8000191,,,5:59:00,5:59:00,7,7,2018-03-12,34c1e5d7,e2311868,n
50082682,7422803593756609492-1803120412-5,F,p,80,ICE,874,ICE874,,8000191,5:52:00,5:55:00,5:58:00,5:58:00,4,3,2018-03-12,1c7fd79b,e2311868,n
50082683,8890417878515396968-1803120518-1,N,p,801566,RB,12452,RB12452,54,8000191,,,5:18:00,5:20:00,1,1,2018-03-12,f45a4ae6,e2311868,n
50082684,561494347766480388-1803120500-1,F,p,80,ICE,696,ICE696,,8000191,,,5:00:00,5:00:00,3,3,2018-03-12,a4f793a0,e2311868,n
50082685,2185359476653172054-1803120447-12,N,p,800647,RE,17300,RE17300,,8000191,5:40:00,5:41:00,,,9,9,2018-03-12,89191255,e2311868,n
50082686,5558869833972278159-1803120515-6,S,p,A6S31,S,85022,S85022,31,8000191,5:39:00,5:39:00,,,13,13,2018-03-12,64ef9a07,e2311868,n
50082687,2273345900432181579-1803120548-1,S,p,801539,S,38306,S38306,3,8000191,,,5:48:00,5:48:00,8,8,2018-03-12,ce9cec64,e2311868,n
50082688,4880622766045812092-1803120518-1,S,p,A6S71,S,85162,S85162,71,8000191,,,5:18:00,5:20:00,6,6,2018-03-12,90ca6b06,e2311868,n
50082689,29964651566548086-1803120450-13,N,p,801518,RB,38801,RB38801,2,8000191,5:42:00,5:42:00,,,3,5,2018-03-12,f2329988,e2311868,n
50082690,1030190176980813117-1803120554-1,S,p,A6S5,S,85017,S85017,5,8000191,,,5:54:00,5:54:00,13,13,2018-03-12,f0e971d2,e2311868,n
50082691,-7392604505060231482-1803120544-1,N,p,800619,RE,19521,RE19521,,8000191,,,5:44:00,5:45:00,10,10,2018-03-12,916b4365,e2311868,n
50109703,342332073205743154-1803120546-12,N,p,800647,RE,17302,RE17302,,8000191,6:39:00,6:41:00,,,6,6,2018-03-12,89191255,e2311868,n
50109704,-368197478345468412-1803120030-12,F,p,80,ICE,271,ICE271,,8000191,6:56:00,6:57:00,6:58:00,7:00:00,2,2,2018-03-12,a8a978f5,e2311868,n
50109705,7621663646109683651-1803120632-1,N,p,8015RP,RE,38816,RE38816,2,8000191,,,6:32:00,6:33:00,2,2,2018-03-12,86a62a22,e2311868,n
50109706,-354745207899279396-1803120628-1,S,p,A6S31,S,85031,S85031,31,8000191,,,6:28:00,6:28:00,10,10,2018-03-12,c9923909,e2311868,n
50109707,-8762643421841203044-1803120658-1,F,p,80,IC,2367,IC2367,,8000191,,,6:58:00,6:58:00,8,8,2018-03-12,34c1e5d7,e2311868,n
50109708,-7945809124591196131-1803120519-17,N,p,800619,RE,19520,RE19520,,8000191,6:40:00,6:40:00,,,11,11,2018-03-12,4515c319,e2311868,n
50109709,-6746067885214654627-1803120549-16,S,p,A6S31,S,85028,S85028,31,8000191,6:38:00,6:42:00,,,4,2,2018-03-12,c00c7257,e2311868,n
50109710,5073949255175885896-1803120655-1,N,p,801518,RB,38818,RB38818,2,8000191,,,6:55:00,6:55:00,5,5,2018-03-12,e5339fc5,e2311868,n
50109711,2335228601342591197-1803120651-1,F,p,80,ICE,674,ICE674,,8000191,,,6:51:00,6:51:00,3,3,2018-03-12,a6afa46e,e2311868,n
50109712,68762000312359299-1803120641-1,N,p,801591,RE,12002,RE12002,6,8000191,,,6:41:00,6:42:00,1,1,2018-03-12,19ffbbca,e2311868,n
50109713,100208771150159392-1803120654-1,S,p,801539,S,38314,S38314,3,8000191,,,6:54:00,7:15:00,7,7,2018-03-12,786b7dad,0b84f09f,c
50109714,2218978916563865009-1803120601-1,N,p,800619,IRE,19031,IRE19031,,8000191,,,6:01:00,6:01:00,11,11,2018-03-12,eabdb629,e2311868,n
50109715,-7147362973585496261-1803120649-1,N,p,800619,RE,19523,RE19523,,8000191,,,6:49:00,6:49:00,11,11,2018-03-12,cfeed3c3,e2311868,n
50109716,6734949842645718034-1803120600-1,N,p,801566,RB,12404,RB12404,51,8000191,,,6:00:00,6:01:00,1,1,2018-03-12,4ab0367c,e2311868,n
50109717,4319528675539704706-1803120410-31,S,p,801539,S,38307,S38307,3,8000191,6:00:00,6:00:00,,,6,6,2018-03-12,4d17ea50,e2311868,n
50109718,4759271651145668280-1803120615-1,F,p,80,IC,2278,IC2278,,8000191,,,6:15:00,6:15:00,8,8,2018-03-12,ac138e76,e2311868,n
50109719,-4436952948229758505-1803120531-16,S,p,A6S31,S,85026,S85026,31,8000191,6:24:00,6:26:00,,,1,1,2018-03-12,c00c7257,e2311868,n
50109720,3763302419853225706-1803120625-1,S,p,A6S51,S,85026,S85026,51,8000191,,,6:25:00,6:25:00,1,1,2018-03-12,3773700e,e2311868,n
50109721,3819909730783286664-1803120443-24,S,p,A6S81,S,85177,S85177,81,8000191,6:14:00,6:22:00,,,10,10,2018-03-12,185d21d6,e2311868,n
50109722,-8543758115108295178-1803120620-1,S,p,801539,S,38310,S38310,2,8000191,,,6:20:00,6:21:00,6,6,2018-03-12,ac9e1d57,e2311868,n
50109723,8517050469209002437-1803120647-1,S,p,801539,S,38312,S38312,3,8000191,,,6:47:00,6:47:00,5,5,2018-03-12,ce08bfe8,e2311868,n
50109724,6772038715391704498-1803120515-5,F,p,80,ICE,604,ICE604,,8000191,6:58:00,6:58:00,7:00:00,7:01:00,3,3,2018-03-12,58ddd1b4,e2311868,n
50109725,3788372529331122701-1803120545-5,F,p,80,IC,2368,IC2368,,8000191,6:45:00,6:45:00,,,8,8,2018-03-12,6b65cedd,e2311868,n
50109726,-965958333754388831-1803120506-15,N,p,801566,RB,12401,RB12401,51,8000191,6:19:00,6:20:00,,,102,102,2018-03-12,2ed22d2c,e2311868,n
50109727,-2252853717078026089-1803120610-1,S,p,A6S81,S,85204,S85204,81,8000191,,,6:10:00,6:11:00,5,5,2018-03-12,cd424f1e,e2311868,n
50109728,648963309911287016-1803120500-28,S,p,801539,S,38313,S38313,4,8000191,6:44:00,7:15:00,,,7,7,2018-03-12,4390225b,3ca17dbd,c
50109729,-2912212003728965425-1803120500-26,S,p,A6S81,S,85031,S85031,81,8000191,6:05:00,6:07:00,,,10,10,2018-03-12,f2a5ab7b,e2311868,n
50109730,5366165978227776439-1803120558-4,F,p,80,IC,2216,IC2216,,8000191,6:35:00,6:37:00,6:37:00,6:39:00,7,7,2018-03-12,861b356b,e2311868,n
50109731,9169959695698752877-1803120440-9,N,p,801591,RE,12331,RE12331,6,8000191,6:36:00,6:36:00,,,1,1,2018-03-12,76958464,e2311868,n
50109732,4049527924966882020-1803120529-15,N,p,801591,RE,12003,RE12003,6,8000191,6:36:00,6:36:00,,,1,1,2018-03-12,dbf622a6,e2311868,n
50109733,-1449270201539030722-1803120643-1,S,p,A6S81,S,85028,S85028,81,8000191,,,6:43:00,6:43:00,4,4,2018-03-12,985bbb6c,e2311868,n
50109734,3344888193211045561-1803120607-1,N,p,800647,RE,4709,RE4709,,8000191,,,6:07:00,6:07:00,9,9,2018-03-12,a6eafa63,e2311868,n
50109735,4117594351153864918-1803120641-1,N,p,801591,RE,12000,RE12000,6,8000191,,,6:41:00,6:42:00,1,1,2018-03-12,9d458430,e2311868,n
50109736,8368037938447819138-1803120522-13,N,p,801518,RB,38805,RB38805,2,8000191,6:21:00,6:20:00,,,2,2,2018-03-12,f2329988,e2311868,n
50109737,-7964225721421527550-1803120543-11,S,p,801539,S,38311,S38311,3,8000191,6:28:00,6:29:00,,,5,5,2018-03-12,1d84b548,e2311868,n
50109738,-1239433704287675310-1803120613-1,N,p,801518,RB,38814,RB38814,2,8000191,,,6:13:00,6:13:00,3,3,2018-03-12,985e23fd,e2311868,n
50143699,-5955959383129671899-1803120745-1,S,p,A6S81,S,85036,S85036,81,8000191,,,7:45:00,7:45:00,6,6,2018-03-12,e49e6782,e2311868,n
50143700,9022741272013619074-1803120733-1,N,p,801566,RB,12406,RB12406,51,8000191,,,7:33:00,7:33:00,1,1,2018-03-12,7329eec3,e2311868,n
50143701,-7418561559873087014-1803120632-8,N,p,801518,RE,38811,RE38811,2,8000191,7:15:00,7:15:00,,,3,3,2018-03-12,50ad24c7,e2311868,n
50143702,2992248743762516132-1803120616-16,S,p,A6S31,S,85030,S85030,31,8000191,7:06:00,7:06:00,,,5,5,2018-03-12,c00c7257,e2311868,n
50143703,7812746106707801828-1803120647-10,N,p,800640,RE,4471,RE4471,4,8000191,7:52:00,7:59:00,,,5,5,2018-03-12,62c708f6,e2311868,n
50143704,-1375142651585881815-1803120707-1,S,p,A6S81,S,85030,S85030,81,8000191,,,7:07:00,7:07:00,5,5,2018-03-12,a50ccde4,e2311868,n
50143705,-7807716844213475358-1803120745-1,N,p,801518,RB,38822,RB38822,2,8000191,,,7:45:00,8:13:00,3,9,2018-03-12,e8708cef,e2311868,n
50143706,1630609897679123062-1803120524-42,S,p,A6S81,S,85039,S85039,81,8000191,7:28:00,7:32:00,,,14,14,2018-03-12,39922279,e2311868,n
50143707,-6279441676967080968-1803120608-18,N,p,801566,RB,12403,RB12403,51,8000191,7:26:00,7:26:00,,,102,102,2018-03-12,b537cd62,e2311868,n
50143708,-785813635291121296-1803120730-1,S,p,A6S32,S,85039,S85039,32,8000191,,,7:30:00,7:30:00,14,14,2018-03-12,f2d9805e,e2311868,n
50143709,-4866358977203475212-1803120654-2,F,p,80,TGV,9578,TGV9578,,8000191,7:30:00,7:33:00,7:32:00,7:36:00,6,6,2018-03-12,ff14d36d,e2311868,n
50143710,3943273120328066868-1803120610-13,N,p,801518,RB,38809,RB38809,2,8000191,7:05:00,7:09:00,,,2,2,2018-03-12,f2329988,e2311868,n
50143711,3568972465830388743-1803120709-1,S,p,A6S31,S,85035,S85035,31,8000191,,,7:09:00,7:11:00,8,8,2018-03-12,c9923909,e2311868,n
50143712,1658752204082531365-1803120728-1,S,p,801539,S,38318,S38318,3,8000191,,,7:28:00,7:32:00,8,8,2018-03-12,dfe22a27,e2311868,n
50143713,4908297256043723302-1803120627-8,N,p,8006C5,RE,17304,RE17304,,8000191,7:14:00,7:17:00,,,10,10,2018-03-12,d602f1e3,e2311868,n
50143714,-8405261167390359410-1803120604-18,N,p,801566,RB,12427,RB12427,51,8000191,7:26:00,7:26:00,,,102,102,2018-03-12,8108269e,e2311868,n
50143715,-3655142511864185080-1803120722-1,N,p,801518,RB,38820,RB38820,2,8000191,,,7:22:00,7:22:00,3,3,2018-03-12,985e23fd,e2311868,n
50143716,7392674480044105059-1803120629-14,N,p,801591,RE,12007,RE12007,6,8000191,7:53:00,8:00:00,,,1,1,2018-03-12,062ec417,e2311868,n
50143717,5773962682101292686-1803120735-1,N,p,8006C5,RE,17303,RE17303,,8000191,,,7:35:00,7:39:00,10,10,2018-03-12,8ecf3c97,e2311868,n
50143718,-7408991080730517793-1803120717-1,N,p,801591,RE,12006,RE12006,6,8000191,,,7:17:00,7:18:00,102,102,2018-03-12,fe473a95,e2311868,n
50143719,2894731161775493941-1803120612-18,S,p,801539,S,38315,S38315,3,8000191,7:18:00,7:27:00,,,8,8,2018-03-12,864e7d45,e2311868,n
50143720,-5520674202470176336-1803120706-1,F,p,80,IC,2063,IC2063,,8000191,,,7:06:00,7:07:00,10,10,2018-03-12,b2ed20eb,e2311868,n
